"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Arctic Minerals";"Sverige";"First North";"Material";"Gruv & Metall";"ARCT";"Aktier";"Q4-2017";0.5571096;"";-13.38677;"";0.4510712;"";-1.355;-1.355;-1.355;-1.614;-0.822;32.336;3.722;0.634;3.722
"Arctic Paper";"Sverige";"Small Cap";"Material";"Skog";"ARP";"Aktier";"Q1-2018";0.06378379;"";10.394;0.1015054;0.5021427;6716.727;1205.866;257.5923;544.363;65.5947;104.4103;69.287;2676.764;488.5497;1350.9
"Arcus";"Norge";"OB Match";"Dagligvaror";"Konsumentprodukter";"ARCUS";"Aktier";"Q1-2018";-0.02922083;0.03701226;17.26594;1.156275;1.877782;2638.5;1182.8;270.1;343.3;176.7;124;68.023;2494.2;175.6;1499.5
"Arendals Fossekompani";"Norge";"OB Match";"Kraftförsörjning";"Energiproducenter";"AFK";"Aktier";"Q1-2018";0.2727273;"";3.40575;2.129595;1.765972;3827;2041;222;423;2393;3046;2.239;3145;1458;1583
"Arise Windpower";"Sverige";"Small Cap";"Kraftförsörjning";"Energiproducenter";"ARISE";"Aktier";"Q2-2018";0.2890625;"";-2.809563;2.67316;0.6961707;206;170;-114;113;-196;111;33.374;1245;53;189
"Arjo";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"ARJO B";"Aktier";"Q1-2018";"";0.01652893;2750;1.057391;1.532018;7700;3367;126;787;4;17;272.37;7568;999;4117
"Arkil Holding";"Denmark";"Small Cap";"Industri";"Byggnation";"ARKIL B";"Aktier";"Q1-2018";0.152381;0.01239669;6.456347;0.1663164;0.6495933;3121.1;388.8;118.6;230;80.4;132.2;0.429;959.9;246.3;610.9
"AroCell";"Sverige";"First North";"Hälsovård";"Sjukvård";"AROC";"Aktier";"Q1-2018";0.02173911;"";-7.824205;302.17;3.171231;0.446;"";-17.223;-17.223;-17.227;-13.817;28.674;3.524;14.137;3.524
"Asetek";"Norge";"OB Match";"Informationsteknik";"Elektronisk utrustning";"ASETEK";"Aktier";"Q1-2018";-0.2083721;"";80.03386;4.431876;7.835318;479.0849;170.0697;16.5469;39.4033;26.5309;13.5899;24.95;95.5326;140.6147;89.72
"Asiakastieto";"Finland";"Mid Cap";"Informationsteknik";"IT-Tjänster";"ATG1V";"Aktier";"Q1-2018";0.3221263;0.03264605;29.30219;7.623436;6.234741;57.647;45.481;19.948;23.251;14.998;7.895;15.102;95.288;20.237;25.234
"Aspire Global";"Sverige";"First North";"Sällanköpsvaror";"Betting & Spel";"ASPIRE";"Aktier";"Q1-2018";-0.08030302;0.02800659;14.02884;1.824685;4.406137;698.4864;266.9651;115.2296;128.9291;90.8531;67.3971;41.994;275.4417;149.4993;268.2535
"Aspo";"Finland";"Mid Cap";"Industri";"Tjänster & Leverans";"ASPO";"Aktier";"Q4-2017";-0.01210128;0.0233853;14.33818;0.5514582;2.476897;504.4;133.9;23.1;35;19.4;0.7999;30.975;208.8;19.9;95.5
"Aspocomp";"Finland";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"ACG1V";"Aktier";"Q1-2018";-0.06810038;0.02692308;13.25854;0.7108864;1.394225;23.433;12.654;0.851;1.912;1.257;-1.794;6.407;7.719;1.018;4.716
