"Bolagsnamn";"Info";"Info";"Info";"Info";"Info";"Info";"Info";"Kursutveck.";"Direktav.";"P/E";"P/S";"P/B";"Omsättning";"Bruttoresult.";"EBIT";"EBITDA";"Vinst";"FCF";"Antal Aktier";"Tot. Skulder";"Kassa";"Kortf. Skuld."
"";"Land";"Lista";"Sektor";"Bransch";"Ticker";"Instrument";"Rapport";"Utveck.  1 år";"Senaste";"Senaste";"Senaste";"Senaste";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Miljoner";"Senaste";"Miljoner";"Miljoner";"Miljoner"
"Assa Abloy";"Sverige";"Large Cap";"Industri";"Byggprodukter";"ASSA B";"Aktier";"Q2-2018";-0.008055288;0.01914153;58.38526;2.445756;3.967386;78298;30933;6584;13982;3280;-439;1110.776;55992;496;27644
"AstraZeneca";"Sverige";"Large Cap";"Hälsovård";"Läkemedel";"AZN";"Aktier";"Q1-2018";0.1854185;0.03469704;36.11861;4.518069;7.377123;184517.1;146654.8;28611.6;54219.83;23081.24;11837.03;1266;426195;26293.75;158935
"Atea";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"ATEA";"Aktier";"Q2-2018";0.04347826;0.06018518;20.75127;0.3413108;3.808122;34108;7465;818;1193;561;545;107.791;9881;59;9034
"Athena Investments";"Denmark";"Small Cap";"Kraftförsörjning";"Energiproducenter";"ATHENA";"Aktier";"Q4-2017";0.3030304;0.03023256;13.32094;2.078721;0.560424;419.3714;199.9264;171.0608;308.0551;65.4434;228.2867;101.367;1583.236;360.8156;239.5803
"Atlantic Lumpus";"Norge";"Merkur Market";"Dagligvaror";"Livsmedel";"ATLU-ME";"Aktier";"Q4-2017";0.192;"";16.90588;4.522766;8.844917;23.72;21.431;9.931;13.315;6.346;2.329;3.6;26.941;5.291;21.966
"Atlantic Petroleum";"Norge";"OB Standard";"Energi";"Olja & Gas";"ATLA NOK";"Aktier";"Q4-2017";-0.1324201;"";-0.4148798;"";-0.186901;"";-7.2025;-74.9962;-74.8787;-84.655;31.85;3.697;266.8737;0.5575;194.1912
"Atlantic Petroleum ddk";"Denmark";"Small Cap";"Energi";"Olja & Gas";"ATLA DKK";"Aktier";"Q3-2017";-0.2512563;"";-0.001084356;0.004288796;-0.0003054626;6422;5381;-35955;-35234;-25400;72579;3.697;228978;"";116887
"Atlantic Sapphire";"Norge";"Merkur Market";"Dagligvaror";"Livsmedel";"ASA-ME";"Aktier";"Q4-2017";"";"";"";"";"";"";"";"";"";"";"";0.001;"";"";""
"Atlas Copco A";"Sverige";"Large Cap";"Industri";"Produktion";"ATCO A";"Aktier";"Q1-2018";-0.1744859;0.02724796;18.25183;2.826133;4.618111;110300;46242;23322;28368;17079;20423;1213.4;67037;23249;45447
"Atria";"Finland";"Mid Cap";"Dagligvaror";"Livsmedel";"ATRAV";"Aktier";"Q1-2018";-0.05733724;0.05154639;10.11892;0.1892206;0.659768;1449.1;172.9;43.2;43.2;27.1;19.4;28.268;495.4;4.7;277.6
"Attana";"Sverige";"NGM";"Hälsovård";"Läkemedel";"ATANA MTF";"Aktier";"Q4-2017";"";"";-8.687943;12.44553;4.466862;4.794;3.987;-6.334;-5.793;-6.876;4.237;121.763;7.339;5.5;4.695
"Attendo";"Sverige";"Large Cap";"Hälsovård";"Sjukvård";"ATT";"Aktier";"Q1-2018";-0.2495192;0.01627162;19.93716;1.068735;2.226611;11715;4343;906;1230;628;-1080;160.413;7737;718;2169
"Atvexa";"Sverige";"First North";"Sällanköpsvaror";"Konsument";"ATVEXA B";"Aktier";"Q2-2018";"";"";19.05758;0.5756909;2.911272;963.319;712.203;38.598;42.107;29.1;-77.002;10.874;190;50.12;130.147
"Auriant Mining";"Sverige";"First North";"Material";"Gruv & Metall";"AUR";"Aktier";"Q1-2018";0.03305782;"";-5.849321;0.7481498;-0.8933158;250.107;2.032;2.481;55.88;-31.992;49.626;74.847;731.277;42.485;46.704
"Austevoll Seafood";"Norge";"OB Match";"Dagligvaror";"Livsmedel";"AUSS";"Aktier";"Q1-2018";0.5371428;0.02602231;12.64499;1.065205;1.043041;20477.13;10332.33;1881.006;2803.304;1724.987;1659.606;202.717;16623.91;5750.369;5334.295
"Autoliv";"Sverige";"Large Cap";"Industri";"Produktion";"ALIV SDB";"Aktier";"Q1-2018";-0.02907395;0.01998551;25.17937;0.9746463;2.256607;84823.63;17508.75;4939.974;10151.18;3283.369;-61.29;88.1;39509.43;6914.869;24470.74
"Avance Gas";"Norge";"OB Match";"Energi";"Olja & Gas";"AVANCE";"Aktier";"Q1-2018";-0.07142853;"";-3.393318;1.653176;0.4507993;862.2493;432.5262;-222.8488;88.8523;-420.0769;-163.6689;64.5;3938.654;376.5607;247.7858
"Awardit";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"AWRD";"Aktier";"Q1-2018";"";0.03962264;23.80097;5.697415;11.48875;48.317;24.91;15.001;16.034;11.566;9.945;5.194;10.19;14.109;8.92
"Avensia";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"AVEN";"Aktier";"Q1-2018";0.4285713;0.01384615;48.54369;2.431293;11.86016;190.052;149.289;13.295;14.912;9.52;6.963;35.544;41.221;19.649;41.221
"Awilco Drilling";"Norge";"Oslo Axess";"Energi";"Olja & Gas";"AWDR";"Aktier";"Q1-2018";0.5582191;0.1394286;6.972539;1.281675;0.5548353;1066.149;836.9193;268.8708;746.7781;195.979;288.9498;30.032;809.9862;738.8512;170.7862
"Awilco LNG";"Norge";"Oslo Axess";"Industri";"Tjänster & Leverans";"ALNG";"Aktier";"Q1-2018";0.2977528;"";-3.848076;2.547661;0.5934378;240.3663;199.5333;6.163;105.1065;-159.1408;66.0023;132.548;2178.304;242.203;41.3881
"Avocet Mining";"Norge";"OB Match";"Material";"Gruv & Metall";"AVM";"Aktier";"Q2-2017";-0.6465968;"";-0.7323027;0.05452152;-0.04921296;502.3806;33.8647;4.3848;2.8815;-37.4039;94.4689;20.2893;863.5471;30.5213;712.2481
"Avtech";"Sverige";"First North";"Industri";"Tjänster & Leverans";"AVT B";"Aktier";"Q1-2018";-0.2731481;"";-57.29927;11.9025;6.094406;14.9;5.7;-3.1;1.4;-3.1;-4.9;56.48;1.1;18.7;1.1
"Axfood";"Sverige";"Large Cap";"Dagligvaror";"Livsmedel";"AXFO";"Aktier";"Q2-2018";0.3050909;0.03900808;24.53514;0.8001307;10.68407;47069;6968;1982;2742;1535;1789;209.871;7284;513;5999
"aXichem";"Sverige";"First North";"Hälsovård";"Bioteknik";"AXIC A";"Aktier";"Q1-2018";0.9638989;"";-52.39838;3595.743;12.55724;0.112;-4.314;-7.493;-7.49;-7.686;-10.603;14.806;4.525;3.296;0.743
"Axis";"Sverige";"Large Cap";"Informationsteknik";"Elektronisk utrustning";"AXIS";"Aktier";"Q2-2018";0.01849131;"";26.22748;2.643913;6.981308;9116.4;4814.5;1177.9;1368.7;919;474.3;69.461;2138.4;1579.2;1787.3
"Axkid";"Sverige";"Aktietorget";"Sällanköpsvaror";"Konsument";"AXKID";"Aktier";"Q1-2018";0.6818182;"";19.07497;1.281446;4.468694;98.026;40.322;8.994;13.817;6.586;"";9.7;12.475;0.606;12.475
"Ayima";"Sverige";"Aktietorget";"Informationsteknik";"IT-Tjänster";"AYIMA B";"Aktier";"Q1-2018";0.5325444;"";-27.11758;0.9299486;2.789846;145.8;76.3;-11.5;-9.2;-5;-20.9;5.235;34.5;2.3;33.9
"B3 Consulting";"Sverige";"Small Cap";"Informationsteknik";"IT-Tjänster";"B3";"Aktier";"Q1-2018";0.02060602;0.02577197;24.40863;0.9545497;5.255241;654.6;209.1;40.8;47.8;25.6;-41.1;7.421;282.6;28.4;204.9
"Bactiguard";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"BACTI B";"Aktier";"Q1-2018";0.5652174;"";-78.32898;8.235651;3.173693;145.571;79.676;-11.831;22.908;-15.308;-12.531;33.302;242.602;6.022;37.262
"Bahnhof";"Sverige";"Aktietorget";"Telekommunikation";"Telekommunikationstjänster";"BAHN B";"Aktier";"Q1-2018";0.8474576;0.01529052;42.85714;3.348622;11.88861;1050.395;316.591;126.288;160.417;82.076;123.458;107.565;383.485;244.254;345.198
"Bakkafrost";"Norge";"OBX";"Dagligvaror";"Livsmedel";"BAKKA";"Aktier";"Q1-2018";0.4928685;0.02898089;25.00597;4.645099;4.590985;4923.442;3854.234;1714.948;1960.185;914.5803;1165.547;48.556;2227.535;855.502;551.7299
"Balco Group";"Sverige";"Small Cap";"Industri";"Byggprodukter";"BALCO";"Aktier";"Q1-2018";"";0.01438849;30.39314;1.488056;3.704592;1000.8;250.4;91.2;106.1;49;71.8;21.428;478;63.1;282.1
"Bambuser";"Sverige";"First North";"Informationsteknik";"IT-Tjänster";"BUSER";"Aktier";"Q4-2017";-0.7261072;"";-0.5623624;1.148141;0.659319;15.53;3.602;-22.563;-18.071;-31.708;-18.971;15.175;7.515;27.123;7.515
"Bang & Olufsen";"Denmark";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"BO";"Aktier";"Q4-2018";0.4361233;"";86.39423;2.143087;4.118813;3285.5;1344.2;122.1;397.6;81.5;84.7;43.197;1211.3;1154.7;915.4
"Basware";"Finland";"Mid Cap";"Informationsteknik";"IT-Tjänster";"BAS1V";"Aktier";"Q2-2018";-0.1113924;"";-253.6127;3.446609;4.32705;146.068;102.073;4.589;15.008;-1.986;9.836;14.343;101.654;41.413;49.864
"Bavarian Nordic";"Denmark";"Mid Cap";"Hälsovård";"Bioteknik";"BAVA";"Aktier";"Q1-2018";-0.4875655;"";1243.647;5.196247;2.636482;1183.749;924.161;183.442;219.462;4.949;-1517.323;31.423;696.763;2445.953;297.54
"Bayn Europe";"Sverige";"First North";"Dagligvaror";"Livsmedel";"BAYN";"Aktier";"Q1-2018";-0.6438095;"";-0.6612447;1.924221;2.811217;3.911;1.723;-11.052;-8.69;-11.382;-9.967;10.061;10.129;0.225;7.347
"BBS-Bioactive Bone";"Sverige";"First North";"Hälsovård";"Läkemedel";"BONES";"Aktier";"Q4-2017";"";"";-4.473823;990.2724;18.32154;0.2056;-0.8326;-44.6768;-12.6958;-45.5095;-11.6061;5.09;88.4079;0.3289;14.1452
"BBS-Bioactive Bone FI";"Finland";"First North";"Hälsovård";"Läkemedel";"BONEH";"Aktier";"Q4-2017";"";"";-4.598712;1.017873;0.01883206;20;-81;-4346;-1235;-4427;-1129;5.09;8600;32;1376
"BE Group";"Sverige";"Small Cap";"Industri";"Handel & Distribution";"BEGR";"Aktier";"Q1-2018";-0.189434;"";13.86093;0.1515318;0.807877;4436;632;66;131;29.7;59;12.9832;1443;39;861
"Beijer Alma";"Sverige";"Mid Cap";"Industri";"Produktion";"BEIA B";"Aktier";"Q1-2018";0.05572646;0.03845531;18.55351;1.839688;4.022677;4046.1;1266.9;547;680.2;401.2;235.6;60.262;1702.6;164.4;1439.8
"Beijer Electronics";"Sverige";"Small Cap";"Informationsteknik";"Elektronisk utrustning";"BELE";"Aktier";"Q2-2018";-0.07373273;"";69.62244;0.8746037;1.779286;1314.607;"";45.032;120.137;16.515;-6.475;28.601;875.646;88.327;376.081
"Beijer Ref";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"BEIJ B";"Aktier";"Q2-2018";1.19615;0.0109545;33.71293;2.005786;5.994124;11093;"";913;1005;660;-533;127.173;6473;604;3401
"Belships";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"BEL";"Aktier";"Q1-2018";0.2723004;0.01845019;4.141514;1.099786;1.061592;230.661;156.0739;100.6917;140.1794;61.2527;62.5106;46.804;622.4952;45.8035;77.8278
"Beowulf Mining";"Sverige";"Aktietorget";"Material";"Gruv & Metall";"BEO SDB";"Aktier";"Q1-2018";-0.2300654;"";-28.73171;"";2.965839;"";-6.4732;-11.0477;-11.0477;-10.9827;"";534.207;3.2195;12.7605;3.2195
"Bergen Group";"Norge";"OB Match";"Industri";"Tjänster & Leverans";"BERGEN";"Aktier";"Q1-2018";0.03658541;"";-7.29927;0.6256198;0.8517223;255.318;154.589;-19.484;-16.57;-21.892;6.371;93.96;73.95;52.034;54.151
"BerGenBio";"Norge";"OB Match";"Hälsovård";"Bioteknik";"BGBIO";"Aktier";"Q1-2018";0.6717948;"";-9.4875;"";5.462729;"";-38.205;-172.7;-172.503;-170.923;-142.846;49.742;44.764;329.224;44.764
"Bergman & Beving";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"BERG B";"Aktier";"Q4-2018";-0.2041237;0.02590674;2.14672;0.6989709;1.719854;3836;1640;216;241;1249;-93;27.785;2074;67;1206
"Bergs Timber";"Sverige";"Small Cap";"Material";"Skog";"BRG B";"Aktier";"Q3-2018";0.311284;0.0148368;7.920094;0.3973474;0.6526813;1528.6;505.2;102.4;140.9;76.7;-146.5;180.233;1019.7;14.9;620.6
"Besqab";"Sverige";"Mid Cap";"Industri";"Byggnation";"BESQ";"Aktier";"Q1-2018";-0.2697369;0.05855856;5.571842;0.8813496;1.279918;1938.14;394.791;356.218;356.218;306.575;444.221;15.389;486.8;493.8;481
"Betsson";"Sverige";"Large Cap";"Sällanköpsvaror";"Betting & Spel";"BETS B";"Aktier";"Q2-2018";-0.09627727;0.04034091;11.52203;1.950654;2.381505;4993.5;3594.3;946.5;1236;845.4;783;138.4;3289.3;561.6;1517
"Better Collective";"Sverige";"Mid Cap";"Sällanköpsvaror";"Betting & Spel";"BETCO";"Aktier";"Q1-2018";"";"";45.39159;10.43789;18.72296;291.305;257.81;91.35;102.515;66.99;-164.43;38.66;257.81;13.195;147.175
"BIBBIntrument";"Sverige";"Aktietorget";"Hälsovård";"Läkemedel";"BIBB";"Aktier";"Q1-2018";"";"";-12.48599;211.8614;5.150766;0.303;-2.712;-6.617;-6.617;-5.142;-6.549;8.23;1.674;10.296;1.674
"Bilia";"Sverige";"Mid Cap";"Sällanköpsvaror";"Återförsäljare";"BILI A";"Aktier";"Q1-2018";-0.1148936;0.06181319;11.2031;0.265747;2.61074;27655;4332;875;1532;656;-158;100.951;8650;109;5055
"BillerudKorsnäs";"Sverige";"Large Cap";"Material";"Skog";"BILL";"Aktier";"Q2-2018";-0.2285497;0.04232284;16.87568;0.9085219;1.566011;23144;11623;1705;3242;1246;-2516;206.957;17786;349;6373
"BIMobject";"Sverige";"First North";"Informationsteknik";"Programvara & Internet";"BIM";"Aktier";"Q1-2018";0.3426574;"";-33.23237;21.12515;18.54521;94.008;81.2;-57.432;-54.638;-59.764;-53.948;51.717;56.074;112.394;55.396
"Binero Group";"Sverige";"First North";"Informationsteknik";"Programvara & Internet";"BINERO";"Aktier";"Q1-2018";0.4615385;"";12.98208;1.418273;1.735214;119.9;52.4;11.5;15;13.1;12.7;19.889;66;6.5;56.9
"BioArctic";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"BIOA B";"Aktier";"Q1-2018";"";"";355.7549;62.81069;16.08315;166.835;166.835;36.728;36.728;29.46;-141.861;88.059;457.11;1078.746;435.833
"BioGaia";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"BIOG B";"Aktier";"Q1-2018";0.3285024;0.02181818;39.54521;11.34168;14.12119;630.515;473.368;234.162;241.273;180.834;158.246;17.336;118.715;347.871;117.937
"Biohit";"Finland";"Small Cap";"Hälsovård";"Bioteknik";"BIOBV";"Aktier";"Q4-2017";-0.2017543;"";11.19862;7.464022;3.905593;9;5.8;6.4;8;6;0.3;14.764;1.7;1.3;1.3
"Bioinvent";"Sverige";"Small Cap";"Hälsovård";"Bioteknik";"BINV";"Aktier";"Q1-2018";-0.1210937;"";-6.650902;15.80623;3.693312;43.373;-70.575;-103.237;-99.546;-103.098;-188.179;304.695;40.903;108.152;40.903
"BioPorto";"Denmark";"Small Cap";"Hälsovård";"Bioteknik";"BIOPOR";"Aktier";"Q1-2018";0.2033581;"";-14.36526;20.87491;11.04645;24.025;17.301;-39.76;-39.281;-34.915;-36.21;155.51;8.049;33.749;7.324
"Bioservo Technologies";"Sverige";"First North";"Hälsovård";"Sjukvård";"BIOS";"Aktier";"Q1-2018";0.01013511;"";-6.189195;11.5608;2.218088;11.879;8.718;-21.304;-18.684;-22.189;-29.193;9.186;3.44;39.158;3.44
"Biotage";"Sverige";"Mid Cap";"Hälsovård";"Bioteknik";"BIOT";"Aktier";"Q2-2018";0.7672131;0.01298701;43.05112;8.604884;11.03128;810.722;494.062;153.093;189.123;162.049;-26.163;64.714;283.034;95.844;155.958
"Biotec Pharmacon";"Norge";"OB Match";"Hälsovård";"Bioteknik";"BIOTEC";"Aktier";"Q1-2018";-0.1145299;"";-8.509939;3.29975;5.884647;68.984;48.122;-26.773;-24.695;-26.751;-26.522;43.944;12.519;19.967;12.519
"Biovica";"Sverige";"First North";"Hälsovård";"Bioteknik";"BIOVIC B";"Aktier";"Q4-2018";-0.3115879;"";-7.825917;14.17149;1.911949;9.945;8.797;-17.956;-15.218;-18.01;-23.341;17.573;7.059;42.127;6.672
"Bio-Works";"Sverige";"First North";"Hälsovård";"Bioteknik";"BIOWKS";"Aktier";"Q4-2017";"";"";-6.091288;20.16371;1.450823;7.146;5.867;-23.571;-21.346;-23.657;-23.216;19.315;5.989;89.249;5.989
"Bittium";"Finland";"Mid Cap";"Informationsteknik";"Elektronisk utrustning";"BITTI";"Aktier";"Q4-2017";-0.3629032;0.06329114;-54.54546;3.146407;1.447832;53.7;14.8;-6.2;-2.3;-3.1;-18.5;35.646;21.7;91.6;20.2
"Björn Borg";"Sverige";"Small Cap";"Sällanköpsvaror";"kläder & Textil";"BORG";"Aktier";"Q1-2018";-0.3454955;0.09176417;11.50557;0.7907195;1.881497;693.167;395.138;63.711;73.434;47.64;80.376;25.148;231.978;41.834;61.055
"BlackPearl Resources";"Sverige";"Mid Cap";"Energi";"Olja & Gas";"PXXS SDB";"Aktier";"Q1-2018";0.4248062;"";-7658.333;3.311563;0.7182338;931.5122;599.6472;-67.2087;196.9037;-0.4355;-294.0201;335.665;1839.265;49.1685;333.0268
"Bodyflight";"Sverige";"Aktietorget";"Sällanköpsvaror";"Hotell, restaurang & nöje";"BODY";"Aktier";"Q1-2018";"";"";23.88889;2.368324;6.556899;27.229;17.089;8.29;9.09;2.7;-1.828;9.998;24.03;0.912;9.922
"Boliden";"Sverige";"Large Cap";"Material";"Gruv & Metall";"BOL";"Aktier";"Q1-2018";0.1305613;0.05148952;10.33459;1.483437;1.970787;50132;11098;9538;14319;7196;7680;273.511;22350;5008;9586
"Bonesupport";"Sverige";"Small Cap";"Hälsovård";"Läkemedel";"BONEX";"Aktier";"Q1-2018";-0.6406896;"";-4.00492;4.118332;1.264199;127.932;109.12;-104.983;-104.983;-131.559;-115.938;50.563;45.958;397.179;45.785
"Bong Ljungdahl";"Sverige";"Small Cap";"Industri";"Tjänster & Leverans";"BONG";"Aktier";"Q2-2018";0.06250004;"";-8.788774;0.1168669;0.3526009;2150.6;366;40.9;86.3;-28.6;-10.2;211.205;971.1;86.2;517.3
"Boozt";"Sverige";"Mid Cap";"Sällanköpsvaror";"kläder & Textil";"BOOZT";"Aktier";"Q1-2018";-0.06501548;"";-721.1079;1.979117;5.451133;2149.2;891.9;-50.1;-11.3;-5.9;-224.3;56.338;727.7;400.2;638
"Borgestad";"Norge";"OB Match";"Industri";"Handel & Distribution";"BOR";"Aktier";"Q1-2018";0.05454545;"";-7.171827;0.2583168;0.5103328;761.832;483.263;34.713;61.18;-27.44;29.83;3.393;1138.612;93.734;305.589
"Borr Drilling";"Norge";"OB Match";"Energi";"Olja & Gas";"BDRILL";"Aktier";"Q1-2018";"";"";-19.42577;202.439;1.296565;86;-357.964;-1196.464;-734.432;-915.804;-10651.28;478.29;3756.288;414.06;978.468
"Borregaard";"Norge";"OB Match";"Industri";"Produktion";"BRG";"Aktier";"Q2-2018";-0.2737864;0.02673797;14.78261;1.611374;2.511753;4642;"";634;951;506;-196;100;2402;90;1141
"Botnia Exploration";"Sverige";"First North";"Material";"Gruv & Metall";"BOTX";"Aktier";"Q1-2018";-0.3927126;"";-13.76652;23.35541;2.084629;7.435;4.044;-12.176;-11.787;-12.614;-14.366;23.153;5.426;20.486;1.272
"Boule Diagnostics";"Sverige";"Small Cap";"Hälsovård";"Sjukvård";"BOUL";"Aktier";"Q1-2018";0.04317789;0.02649007;8.416383;0.868241;1.312973;420.7;198.4;61.2;68.8;43.4;25.9;19.352;143.1;104.7;109.4
"Bouvet";"Norge";"OB Match";"Informationsteknik";"IT-Tjänster";"BOUVET";"Aktier";"Q1-2018";0.5;0.0372807;19.79356;1.415869;9.867421;1650.577;1406.196;153.487;175.888;118.069;108.677;10.25;437.523;159.037;437.523
"BrainCool";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"BRAIN";"Aktier";"Q1-2018";0.1122882;"";-8.163583;38.28535;2.671986;4.753;-8.337;-20.886;-17.731;-22.291;"";34.661;15.734;18.304;15.214
"Bravida";"Sverige";"Large Cap";"Industri";"Tjänster & Leverans";"BRAV";"Aktier";"Q1-2018";0.185738;0.02167832;17.26011;0.8126327;2.935242;17735;2603;1088;1122;835;453;201.567;8579;660;6684
"Brd. Klee";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"KLEE B";"Aktier";"Q2-2018";-0.1039157;0.03577311;94.66044;6.428063;17.39388;186.977;74.392;17.324;17.324;12.697;8.006;0.505;40.816;11.105;27.129
"Brdr. A&O Johansen";"Denmark";"Small Cap";"Sällanköpsvaror";"Återförsäljare";"AOJ P";"Aktier";"Q1-2018";-0.2665148;0.01863354;6.438712;0.2209018;1.36013;4081.451;960.059;175.808;273.178;140.028;-26.341;2.8;1558.621;35.12;1330.832
"Brdr. Hartmann";"Denmark";"Mid Cap";"Industri";"Produktion";"HART";"Aktier";"Q1-2018";-0.06111833;0.02631579;18.27469;1.1052;3.221052;2258.7;682;246.3;383;136.6;148.1;6.915;1045.9;54.2;375.1
"Bredband2";"Sverige";"First North";"Telekommunikation";"Telekommunikationstjänster";"BRE2";"Aktier";"Q1-2018";0.3785046;0.03389831;29.8583;1.890744;10.15476;546.863;208.089;44.995;66.323;34.69;55.411;701.002;193.359;72.371;186.482
"Brighter";"Sverige";"First North";"Hälsovård";"Sjukvård";"BRIG";"Aktier";"Q1-2018";0.6754386;"";-14.75758;15.80538;6.118995;32.981;-16.768;-26.996;-26.794;-35.323;-71.674;68.23;26.08;2.391;26.08
"Briox";"Sverige";"NGM";"Informationsteknik";"IT-Tjänster";"BRIX MTF";"Aktier";"Q1-2018";0.8823531;"";-7.042253;12.72719;6.968726;8.614;0.6;-15.146;-7.582;-15.569;-14.527;22.84;8.182;4.624;8.182
"Brondby IF";"Denmark";"Small Cap";"Sällanköpsvaror";"Hotell, restaurang & nöje";"BIF";"Aktier";"Q4-2017";1.338235;"";-18.81657;3.174158;3.626452;146.96;82.752;-24.588;-16.846;-24.792;-38.02;293.38;59.91;3.276;52.91
"BTS Group";"Sverige";"Small Cap";"Industri";"Tjänster & Leverans";"BTS B";"Aktier";"Q1-2018";0.3976608;0.02343096;22.7303;1.779924;3.709042;1268.03;"";133.297;155.059;99.295;1.735;18.887;558.585;172.945;243.663
"Bublar";"Sverige";"NGM";"Informationsteknik";"Elektronisk utrustning";"BUBL MTF";"Aktier";"Q1-2018";"";"";-6.975076;23.77954;3.638414;4.133;-0.669;-16.345;-15.688;-14.091;-19.987;25.265;6.422;14.484;5.422
"Bufab";"Sverige";"Mid Cap";"Industri";"Handel & Distribution";"BUFAB";"Aktier";"Q2-2018";0.1989333;0.02001779;17.69299;1.212328;2.791155;3488;1005;337;383;239;-66;37.621;2083;185;783
"Bulten";"Sverige";"Mid Cap";"Industri";"Produktion";"BULTEN";"Aktier";"Q2-2018";-0.1921569;0.03640777;13.18906;0.6914108;1.411204;3033;579;214;299;159;-55;20.3597;774;27;629
"BW LPG";"Norge";"OB Match";"Industri";"Handel & Distribution";"BWLPG";"Aktier";"Q1-2018";-0.03227641;"";-9.858868;1.285293;0.5585094;3741.449;2483.668;-106.9944;868.2867;-487.7828;1425.132;141.938;10741.55;360.1662;1533.158
"BW Offshore Limited";"Norge";"OB Match";"Energi";"Olja & Gas";"BWO";"Aktier";"Q1-2018";0.7717391;"";13.43421;1.452895;0.7375673;5187.545;3001.14;842.475;2798.465;561.045;-104.87;184.956;17090.96;1309.735;4700.395
"Bygghemma";"Sverige";"Mid Cap";"Industri";"Byggprodukter";"BHG";"Aktier";"Q1-2018";"";"";-174.1875;0.9196647;1.484287;4317.3;907.3;56.7;116.2;-22.8;-89;107.368;2177.3;460.6;1700.8
"Byggma";"Norge";"OB Standard";"Industri";"Byggprodukter";"BMA";"Aktier";"Q1-2018";-0.19;0.0308642;10.26343;0.3608457;0.7292241;1607;867.9;82.4;136.1;56.5;48.2;7.159;675.9;292.2;347
"Byggmax";"Sverige";"Mid Cap";"Sällanköpsvaror";"Återförsäljare";"BMAX";"Aktier";"Q2-2018";-0.4190114;0.06544503;17.66637;0.4474626;1.878708;5207.5;1652;190.6;368.7;131.9;152.5;60.999;2683.6;84.1;2084.1
"Byggpartner";"Sverige";"First North";"Industri";"Byggprodukter";"BYGGP";"Aktier";"Q1-2018";-0.1416431;0.08250825;11.01458;0.2631785;2.651149;1393.891;75.54;44.085;52.985;33.306;81.229;12.107;264.017;72.267;253.091
"C Security";"Sverige";"Aktietorget";"Informationsteknik";"Elektronisk utrustning";"CSEC";"Aktier";"Q1-2018";-0.5631579;"";-4.336468;13.23296;8.069667;0.9493;0.4888;-2.9179;-2.7782;-2.8996;-3.2233;30.27;1.4215;1.8333;0.9923
"Calliditas Therapeutics";"Sverige";"Mid Cap";"Hälsovård";"Läkemedel";"CALTX";"Aktier";"Q1-2018";"";"";-16.41978;6283.322;74.57053;0.296;-92.676;-111.757;-111.706;-113.271;-89.294;35.399;32.089;53.074;32.089
"Camanio Care";"Sverige";"Aktietorget";"Hälsovård";"Sjukvård";"CARE";"Aktier";"Q1-2018";-0.279661;"";-1.563937;3.043316;2.064838;8.498;5.168;-16.542;-14.165;-16.537;"";15.213;9.711;3.082;8.366
"Camurus";"Sverige";"Mid Cap";"Hälsovård";"Läkemedel";"CAMX";"Aktier";"Q2-2018";-0.2579256;"";-16.96705;88.50643;9.227994;39.932;36.944;-260.799;-260.799;-208.301;-221.052;37.281;107.142;199.093;107.142
"Cantargia";"Sverige";"First North";"Hälsovård";"Bioteknik";"CANTA";"Aktier";"Q1-2018";1.822034;"";-19.41012;"";4.741311;"";-41.39;-58.071;-58.071;-56.777;-203.576;66.185;19.054;240.581;19.054
"Capacent";"Sverige";"First North";"Industri";"Tjänster & Leverans";"CAPAC";"Aktier";"Q1-2018";0.2661498;0.02040816;14.05582;0.5685717;1.166614;227.776;183.762;13.536;20.77;9.214;5.449;2.643;80.795;5.363;68.295
"Capio";"Sverige";"Mid Cap";"Hälsovård";"Sjukvård";"CAPIO";"Aktier";"Q1-2018";0.03564355;0.01816444;21.58748;0.4741902;1.228193;15569;2574;507;1085;342;-44;141.16;8708;477;4026
"Cargotec";"Finland";"Large Cap";"Industri";"Tjänster & Leverans";"CGCBV";"Aktier";"Q1-2018";-0.2285966;0.02402746;21.09786;0.8621877;2.034998;3259.3;854;223.6;296.2;133.2;92.1;64.305;2122.3;212;1348.5
"Carlsberg B";"Denmark";"Large Cap";"Dagligvaror";"Livsmedel";"CARL B";"Aktier";"Q4-2017";0.1268012;0.02046036;94.65479;1.928051;2.539292;61808;31483;8876;13583;1259;8680;152.39;64726;3462;25066
"Cassandra Oil";"Sverige";"First North";"Industri";"Produktion";"CASO";"Aktier";"Q1-2018";-0.8037384;"";-0.3190035;"";3.153049;"";-3.115;-78.856;-73.711;-83.728;-29.108;127.188;38.516;0.099;38.516
